enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
26217,city_160,0.92,Male,No relevent experience,no_enrollment,,,6,,,never,33,0.0
54,city_73,0.754,Male,Has relevent experience,Part time course,Graduate,STEM,8,100-500,NGO,1,34,0.0
15309,city_89,0.925,,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Public Sector,never,80,0.0
7133,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,55,0.0
3269,city_114,0.926,Male,Has relevent experience,Full time course,Graduate,STEM,15,50-99,Pvt Ltd,1,111,0.0
20804,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,2,,,never,214,0.0
19489,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Funded Startup,1,50,0.0
14974,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,NGO,1,50,0.0
9385,city_136,0.897,,No relevent experience,no_enrollment,Masters,STEM,7,500-999,Pvt Ltd,1,27,0.0
30757,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,14,50-99,Pvt Ltd,4,44,1.0
8913,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,18,,Public Sector,4,53,0.0
15919,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,<1,50-99,Pvt Ltd,1,110,0.0
16686,city_16,0.91,,Has relevent experience,Full time course,Graduate,STEM,14,10000+,Pvt Ltd,never,9,0.0
29399,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,8,100-500,Pvt Ltd,1,41,0.0
5668,city_105,0.794,Male,No relevent experience,Full time course,Graduate,STEM,1,,,never,78,0.0
20369,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,7,10000+,,1,35,0.0
19649,city_21,0.624,Male,No relevent experience,no_enrollment,,,7,,,never,46,1.0
23971,city_149,0.6890000000000001,Female,No relevent experience,no_enrollment,Graduate,STEM,3,100-500,Public Sector,1,72,0.0
22685,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,No Major,>20,,,3,42,0.0
18994,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,18,1000-4999,Pvt Ltd,1,107,0.0
23496,city_21,0.624,Male,No relevent experience,no_enrollment,Primary School,,4,,,never,15,0.0
19580,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,500-999,Funded Startup,1,20,0.0
2294,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,12,<10,Pvt Ltd,>4,61,0.0
18006,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,>4,21,0.0
6625,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,1000-4999,Pvt Ltd,>4,61,0.0
18927,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,>4,47,0.0
28443,city_21,0.624,Male,Has relevent experience,,Masters,STEM,9,100-500,Pvt Ltd,2,43,0.0
27982,city_136,0.897,,No relevent experience,Part time course,Graduate,STEM,4,10000+,Public Sector,,20,1.0
9475,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,11,0.0
12224,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,59,1.0
15490,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,2,24,0.0
7649,city_158,0.7659999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,2,92,1.0
6004,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,10,1.0
22585,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,1000-4999,Pvt Ltd,1,17,0.0
18040,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,,1,112,0.0
17432,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Pvt Ltd,>4,15,0.0
5778,city_71,0.884,,Has relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,2,36,1.0
235,city_16,0.91,,No relevent experience,Full time course,Graduate,STEM,6,,Pvt Ltd,1,35,0.0
8006,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,1,142,0.0
30694,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,>4,168,0.0
6374,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,14,<10,Pvt Ltd,1,87,1.0
3877,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,1000-4999,Pvt Ltd,>4,39,0.0
2100,city_114,0.926,Male,Has relevent experience,Full time course,Masters,STEM,14,1000-4999,Pvt Ltd,1,12,0.0
